"wave","m1","m2","m3","m4","m5","m6","s1","s2","s3","s4","s5","s6","t1","t2","t3","t4","t5","t6"
340,1.8,1.58666666666667,3.7,2.60666666666667,3.19333333333333,2.42333333333333,2.28,2.47666666666667,2.01333333333333,3.28,2.54333333333333,2.60666666666667,1.93333333333333,1.63333333333333,0.78,0.946666666666667,1.85666666666667,1.77
345,1.73,1.57666666666667,3.64666666666667,2.58,3.13,2.39666666666667,2.27666666666667,2.45333333333333,1.98333333333333,3.25,2.50333333333333,2.55,1.79666666666667,1.35666666666667,0.733333333333333,0.89,1.76333333333333,1.69666666666667
350,1.7175,1.5025,3.57,2.5075,3.095,2.3525,2.275,2.4325,1.95,3.1925,2.4875,2.5125,1.6625,1.2325,0.6875,0.8175,1.695,1.6125
355,1.70666666666667,1.47666666666667,3.58333333333333,2.51,3.08666666666667,2.36333333333333,2.30666666666667,2.46,1.93666666666667,3.22333333333333,2.47666666666667,2.51,1.60333333333333,1.16666666666667,0.67,0.82,1.64,1.59333333333333
360,1.72666666666667,1.48333333333333,3.62,2.55,3.11333333333333,2.38333333333333,2.32333333333333,2.46666666666667,1.94666666666667,3.25666666666667,2.50333333333333,2.51,1.63,1.12,0.653333333333333,0.813333333333333,1.62666666666667,1.56666666666667
365,1.70666666666667,1.48,3.6,2.52666666666667,3.12,2.37,2.35333333333333,2.47,1.95,3.27,2.51,2.51666666666667,1.56666666666667,1.06666666666667,0.633333333333333,0.77,1.59666666666667,1.54
370,1.7075,1.4775,3.63,2.5525,3.1325,2.3925,2.38,2.4925,1.9475,3.34,2.5325,2.5275,1.5725,1.07,0.625,0.765,1.585,1.54
375,1.74,1.50333333333333,3.69333333333333,2.60666666666667,3.18666666666667,2.42666666666667,2.42,2.52,1.98,3.40333333333333,2.57666666666667,2.56,1.59,1.06,0.62,0.776666666666667,1.58666666666667,1.55333333333333
380,1.7725,1.5125,3.6975,2.6225,3.1925,2.45,2.47,2.555,2.005,3.465,2.615,2.5925,1.58,1.0575,0.605,0.775,1.5925,1.5425
385,1.80666666666667,1.54,3.74333333333333,2.66333333333333,3.24666666666667,2.49333333333333,2.50666666666667,2.58333333333333,2.03333333333333,3.53666666666667,2.67666666666667,2.62666666666667,1.60666666666667,1.07333333333333,0.61,0.78,1.59333333333333,1.56666666666667
390,1.80333333333333,1.53333333333333,3.74333333333333,2.67,3.22333333333333,2.48333333333333,2.53666666666667,2.6,2.02,3.57666666666667,2.68666666666667,2.63,1.54,1.04,0.593333333333333,0.763333333333333,1.55333333333333,1.54666666666667
395,1.825,1.55,3.7675,2.7025,3.2425,2.5125,2.58,2.62,2.055,3.6425,2.7375,2.6725,1.5475,1.0775,0.595,0.7675,1.5725,1.5675
400,1.80333333333333,1.53,3.73,2.68666666666667,3.22333333333333,2.50333333333333,2.59333333333333,2.63,2.03333333333333,3.68,2.75666666666667,2.66666666666667,1.47666666666667,1.06,0.573333333333333,0.75,1.53,1.55666666666667
405,1.825,1.5425,3.7575,2.71,3.245,2.5325,2.625,2.6475,2.055,3.74,2.795,2.695,1.465,1.085,0.57,0.7525,1.555,1.575
410,1.85333333333333,1.56333333333333,3.81,2.74,3.28333333333333,2.56,2.66,2.67666666666667,2.08,3.82,2.85,2.73666666666667,1.48333333333333,1.14333333333333,0.573333333333333,0.77,1.59,1.62
415,1.89333333333333,1.59,3.87666666666667,2.78333333333333,3.34666666666667,2.59,2.69333333333333,2.70333333333333,2.11,3.89666666666667,2.90666666666667,2.78333333333333,1.51,1.19333333333333,0.586666666666667,0.79,1.62,1.65666666666667
420,1.945,1.6325,4.01,2.85,3.4475,2.6425,2.7475,2.7525,2.1575,4.0025,2.985,2.8525,1.565,1.265,0.6025,0.8225,1.685,1.715
425,2.02,1.68333333333333,4.16,2.93,3.58333333333333,2.7,2.80333333333333,2.81,2.22,4.11666666666667,3.07666666666667,2.93666666666667,1.65666666666667,1.34666666666667,0.63,0.856666666666667,1.76,1.78666666666667
430,2.095,1.75,4.36,3.0275,3.7425,2.7675,2.87,2.87,2.2925,4.245,3.18,3.03,1.7725,1.4425,0.665,0.9,1.8425,1.855
435,2.17333333333333,1.81,4.56666666666667,3.13,3.90666666666667,2.84,2.92666666666667,2.93666666666667,2.37333333333333,4.37,3.28,3.11666666666667,1.89333333333333,1.52333333333333,0.7,0.94,1.92333333333333,1.92
440,2.26,1.875,4.785,3.2425,4.0825,2.9175,2.99,3,2.4575,4.49,3.38,3.205,2.05,1.6325,0.7425,0.975,2.01,1.9875
445,2.35,1.95,5.01,3.37,4.26666666666667,3.00333333333333,3.05,3.07,2.54333333333333,4.61333333333333,3.48,3.29333333333333,2.23,1.74666666666667,0.793333333333333,1.01666666666667,2.1,2.05
